RESORT INTERNATIONAL HOTEL,,,,,,,,,,
Department : Sales,,,,,,,,,,
Manager: Daniel Davids,,,,,,,,,,
Date: 21.04.2023,,,,,,,,,,
Prepared by Daniel Delano,,,,,,,,,,
Sales Report $,,,,,,,,,,
END OF THE YEAR SALES REPORT FOR RESORT INTERNATIONAL HOTEL,,,,,,,,,,
hotel,Month,Cost,Revenue,Profit,Car parked,,,,,
Resort Hotel,January,3618.51,31029.68,27411.166,36,,,,,
Resort Hotel,February,320.78,7527.01,7206.226,0,,,,,
Resort Hotel,March,1128.38,10172.85,9044.47,0,,,,,
Resort Hotel,April,1987.77,26599.61,24611.838,0,,,,,
Resort Hotel,May,1725.81,35312.94,33587.134,0,,,,,
Resort Hotel,June,5224.33,77964.45,72740.122,0,,,,,
Resort Hotel,July,17987.68,264558.96,246571.28,183,,,,,
Resort Hotel,August,19170.96,350785.35,331614.389,198,,,,,
Resort Hotel,September,17254.32,190033.13,172778.809,197,,,,,
Resort Hotel,October,20409.64,130839.1,110429.462,212,,,,,
Resort Hotel,November,16318.55,65650.21,49331.655,186,,,,,
Resort Hotel,December,12740.98,47738.18,34997.196,137,,,,,
,,117.887.71,1.238.211.46,1.120.323.75,1149,,,,,